run_name,run_tag,model_name,batch_size,learning_rate,weight_decay,dropout_rate,label_smoothing,force_weighted_sampler,use_weighted_sampler,use_class_weighted_loss,early_stopping_patience,best_val_acc,best_val_loss,test_macro_f1,pair_err_esophagitis_normal_z_line,pair_err_dyed_lifted_vs_resection
ResNeSt50_Baseline_MediumLarge_Run2_dropout03_ls05_wd0p0001_bs32_ep30_lr0p0003,dropout03_ls05_wd0p0001_bs32_ep30_lr0p0003,resnest50d,32,0.0003,0.0001,0.3,0.05,False,False,True,8,0.9158333333333334,0.4767471623420715,0.9064818569614156,66,20
ResNeSt50_Baseline_MediumLarge_Run2_dropout02_ls03_wd0p0001_bs32_ep30_lr0p0003,dropout02_ls03_wd0p0001_bs32_ep30_lr0p0003,resnest50d,32,0.0003,0.0001,0.25,0.03,False,False,False,0,0.945,0.3709940612316131,0.9343933166609216,49,13
ResNeSt50_Baseline_MediumLarge_Run2_dropout03_ls05_wd0p0001_bs32_ep20_lr0p0003,dropout03_ls05_wd0p0001_bs32_ep20_lr0p0003,resnest50d,32,0.0003,0.0001,0.3,0.05,False,False,True,0,0.9425000000000001,0.4407452404499054,0.9251457386181963,56,18
