run_name,run_tag,model_name,batch_size,learning_rate,weight_decay,dropout_rate,label_smoothing,force_weighted_sampler,use_weighted_sampler,use_class_weighted_loss,early_stopping_patience,best_val_acc,best_val_loss,test_macro_f1,pair_err_esophagitis_normal_z_line,pair_err_dyed_lifted_vs_resection
ConvNeXt_Base_Baseline_MediumLarge_Run1_dropout03_ls10_wd0p0005_bs16_ep50_lr0p0005_i224_smpOFF,dropout03_ls10_wd0p0005_bs16_ep50_lr0p0005_i224_smpOFF,convnext_base,16,0.0005,0.0005,0.3,0.1,False,False,False,5,0.9175,0.6415675354003906,0.920794294409122,51,11
ConvNeXt_Base_Baseline_MediumLarge_Run1_dropout03_ls10_wd0p0005_bs16_ep50_lr0p0005_i256_smpOFF,dropout03_ls10_wd0p0005_bs16_ep50_lr0p0005_i256_smpOFF,convnext_base,16,0.0005,0.0005,0.3,0.1,False,False,False,5,0.9133333333333332,0.6775683919588725,0.9093397134398584,48,22
ConvNeXt_Base_AugReg_MediumLarge_Run2_dropout04_ls05_wd0p001_bs16_ep50_lr0p0003_i256_smpOFF,dropout04_ls05_wd0p001_bs16_ep50_lr0p0003_i256_smpOFF,convnext_base,16,0.0003,0.001,0.4,0.05,False,False,False,8,0.9183333333333332,0.4552424303690592,0.9204828250104002,70,7
ConvNeXt_Base_NoAug_MediumLarge_Run3_dropout03_ls08_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF,dropout03_ls08_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF,convnext_base,16,0.0002,0.0007,0.3,0.08,False,False,False,10,0.9275,0.5787916465600331,0.9208342653513844,53,18
ConvNeXt_Base_NoAug_TargetCW_Run4_dropout03_ls08_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF_cwlON,dropout03_ls08_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF_cwlON,convnext_base,16,0.0002,0.0007,0.3,0.08,False,False,True,10,0.9366666666666666,0.5901049562295277,0.9307708621014572,44,15
ConvNeXt_Base_NoAug_TargetCW_Run5_dropout03_ls06_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF_cwlON,dropout03_ls06_wd0p0007_bs16_ep50_lr0p0002_i256_smpOFF_cwlON,convnext_base,16,0.0002,0.0007,0.3,0.06,False,False,True,10,0.9366666666666666,0.5012676564852396,0.9164878221365889,51,19
